"date1","date","trans"
"01/09/2009",2009-01-09,155000
"01/09/2009",2009-01-09,-770000
"01/09/2009",2009-01-09,-49457.95
"01/09/2009",2009-01-09,-139083.23
"01/09/2009",2009-01-09,-40402.02
"01/12/2009",2009-01-12,82000
"01/12/2009",2009-01-12,-1041000
"01/12/2009",2009-01-12,-5443.67
"01/12/2009",2009-01-12,-563892.72
"01/12/2009",2009-01-12,-18262.42
"01/13/2009",2009-01-13,-8598800
"01/14/2009",2009-01-14,130000
"01/14/2009",2009-01-14,-1500200
"01/14/2009",2009-01-14,-419.68
"01/14/2009",2009-01-14,-22461.37
"01/14/2009",2009-01-14,-2464.6
"01/15/2009",2009-01-15,165000
"01/15/2009",2009-01-15,-843800
"01/16/2009",2009-01-16,150000
"01/16/2009",2009-01-16,-1033600
"01/16/2009",2009-01-16,24628.04
"01/16/2009",2009-01-16,419.22
"01/16/2009",2009-01-16,26754.27
"01/16/2009",2009-01-16,-185.94
"01/20/2009",2009-01-20,284000
"01/20/2009",2009-01-20,-9468800
"01/20/2009",2009-01-20,96733.65
"01/21/2009",2009-01-21,761000
"01/21/2009",2009-01-21,-1521700
"01/21/2009",2009-01-21,2536.65
"01/21/2009",2009-01-21,16146.29
"01/21/2009",2009-01-21,279725.27
"01/21/2009",2009-01-21,14979.51
"01/22/2009",2009-01-22,473000
"01/22/2009",2009-01-22,-1317900
"01/22/2009",2009-01-22,15032.69
"01/22/2009",2009-01-22,7736.47
"01/22/2009",2009-01-22,32660.75
"01/22/2009",2009-01-22,24857.63
"01/22/2009",2009-01-22,5997.88
"01/22/2009",2009-01-22,-3319.42
"01/22/2009",2009-01-22,-2254.96
"01/22/2009",2009-01-22,-28361.08
"01/22/2009",2009-01-22,-954.7
"01/22/2009",2009-01-22,-3734.46
"01/22/2009",2009-01-22,-2686.73
"01/23/2009",2009-01-23,166000
"01/23/2009",2009-01-23,-894500
"01/23/2009",2009-01-23,253702.29
"01/23/2009",2009-01-23,20486.76
"01/23/2009",2009-01-23,252929.29
"01/23/2009",2009-01-23,1614.39
"01/23/2009",2009-01-23,15135.49
"01/26/2009",2009-01-26,667000
"01/26/2009",2009-01-26,-764400
"01/26/2009",2009-01-26,2949.55
"01/26/2009",2009-01-26,5977.66
"01/27/2009",2009-01-27,348000
"01/27/2009",2009-01-27,-9143000
"01/27/2009",2009-01-27,23359.71
"01/27/2009",2009-01-27,5810.53
"01/27/2009",2009-01-27,6400.65
"01/28/2009",2009-01-28,381000
"01/28/2009",2009-01-28,-1138900
"01/28/2009",2009-01-28,7061.94
"01/28/2009",2009-01-28,518.2
"01/28/2009",2009-01-28,12312.22
"01/29/2009",2009-01-29,665000
"01/29/2009",2009-01-29,-877100
"01/29/2009",2009-01-29,5209.42
"01/29/2009",2009-01-29,-5852.22
"01/29/2009",2009-01-29,-43.76
"01/29/2009",2009-01-29,-1041.47
"01/29/2009",2009-01-29,-15188.87
"01/29/2009",2009-01-29,-75394.64
"01/29/2009",2009-01-29,-45.11
"01/29/2009",2009-01-29,-77658.96
"01/30/2009",2009-01-30,695000
"01/30/2009",2009-01-30,-736500
"01/30/2009",2009-01-30,743.76
"01/30/2009",2009-01-30,34472.27
"01/30/2009",2009-01-30,4576.72
"01/04/2010",2010-01-04,666000
"01/04/2010",2010-01-04,-515901.2
"01/04/2010",2010-01-04,21253.99
"01/04/2010",2010-01-04,20978.17
"01/04/2010",2010-01-04,-87559.05
"01/05/2010",2010-01-05,109000
"01/05/2010",2010-01-05,-1635039.24
"01/05/2010",2010-01-05,19917.1
"01/05/2010",2010-01-05,2330.93
"01/06/2010",2010-01-06,561000
"01/06/2010",2010-01-06,-579096.31
"01/06/2010",2010-01-06,271153.51
"01/06/2010",2010-01-06,29197.47
"01/06/2010",2010-01-06,-108344.64
"01/07/2010",2010-01-07,270000
"01/07/2010",2010-01-07,-861350.98
"01/08/2010",2010-01-08,224000
"01/08/2010",2010-01-08,-282080.77
"01/08/2010",2010-01-08,741.2
"01/08/2010",2010-01-08,11339.57
"01/11/2010",2010-01-11,296000
"01/11/2010",2010-01-11,-224000
"01/12/2010",2010-01-12,326000
"01/12/2010",2010-01-12,-296000
"01/13/2010",2010-01-13,1013000
"01/13/2010",2010-01-13,-33783.17
"01/13/2010",2010-01-13,-42251.26
"01/13/2010",2010-01-13,-113897.3
"01/13/2010",2010-01-13,-51757.12
"01/13/2010",2010-01-13,-4172.41
"01/13/2010",2010-01-13,-5087.49
"01/13/2010",2010-01-13,-34000.2
"01/13/2010",2010-01-13,-1796.19
"01/13/2010",2010-01-13,-39254.86
"01/14/2010",2010-01-14,1074000
"01/14/2010",2010-01-14,-738400
"01/14/2010",2010-01-14,230255.4
"01/15/2010",2010-01-15,644000
"01/15/2010",2010-01-15,-662500
"01/15/2010",2010-01-15,-342440.46
"01/19/2010",2010-01-19,323000
"01/19/2010",2010-01-19,-1332856.31
"01/19/2010",2010-01-19,19125.69
"01/19/2010",2010-01-19,114941.37
"01/20/2010",2010-01-20,807000
"01/20/2010",2010-01-20,-258141.68
"01/20/2010",2010-01-20,-83157.27
"01/20/2010",2010-01-20,-826.74
"01/21/2010",2010-01-21,429000
"01/21/2010",2010-01-21,-604700
